"Date","Price","Open","High","Low","Vol.","Change %"
"08/01/2018","290.31","281.56","291.74","279.16","1.31B","3.19%"
"07/01/2018","281.33","269.51","284.37","269.24","1.27B","3.70%"
"06/01/2018","271.28","272.41","279.48","268.49","1.60B","0.13%"
"05/01/2018","270.94","263.87","274.25","259.05","1.61B","2.43%"
"04/01/2018","264.51","262.55","271.30","254.67","2.00B","0.52%"
"03/01/2018","263.15","271.41","280.41","257.83","2.34B","-3.13%"
"02/01/2018","271.65","281.07","283.06","252.92","2.92B","-3.64%"
"01/01/2018","281.90","267.84","286.63","267.40","2.00B","5.64%"
"12/01/2017","266.86","264.76","268.60","260.76","1.72B","0.70%"
"11/01/2017","265.01","258.04","266.05","255.63","1.37B","3.06%"
"10/01/2017","257.15","251.49","257.89","251.29","1.32B","2.36%"
"09/01/2017","251.23","247.92","251.32","244.95","1.29B","1.51%"
"08/01/2017","247.49","247.46","248.91","241.83","1.56B","0.29%"
"07/01/2017","246.77","242.88","248.00","240.34","1.06B","2.06%"
"06/01/2017","241.80","241.97","245.01","239.96","1.57B","0.15%"
"05/01/2017","241.44","238.68","242.08","235.43","1.49B","1.41%"
"04/01/2017","238.08","235.80","239.53","232.51","1.55B","0.99%"
"03/01/2017","235.74","238.39","240.32","231.61","1.92B","-0.31%"
"02/01/2017","236.47","228.25","237.31","226.82","1.37B","3.93%"
"01/01/2017","227.53","225.04","229.71","223.88","1.48B","1.79%"
"12/01/2016","223.53","220.73","228.34","219.15","1.82B","1.43%"
"11/01/2016","220.38","212.93","221.82","208.38","2.07B","3.68%"
"10/01/2016","212.55","215.82","216.70","211.21","1.73B","-1.73%"
"09/01/2016","216.30","217.37","219.22","212.31","2.30B","-0.50%"
"08/01/2016","217.38","217.19","219.60","214.25","1.52B","0.12%"
"07/01/2016","217.12","209.36","217.54","207.06","1.65B","3.65%"
"06/01/2016","209.47","209.12","212.52","198.65","2.63B","-0.18%"
"05/01/2016","209.84","206.92","210.69","202.78","1.83B","1.70%"
"04/01/2016","206.33","204.35","210.92","203.09","1.91B","0.39%"
"03/01/2016","205.52","195.01","206.87","194.45","2.32B","6.18%"
"02/01/2016","193.56","192.53","196.68","181.09","2.92B","-0.08%"
"01/01/2016","193.72","200.49","201.90","181.02","3.71B","-4.98%"
"12/01/2015","203.87","209.44","211.00","199.83","2.92B","-2.31%"
